,obj_id,vol_avg_dice,global_allres_sim,global_lowres_sim,global_masked_allres_sim,global_masked_lowres_sim,local_allres_sim,local_lowres_sim,local_masked_allres_sim,local_masked_lowres_sim,lesion_allres_sim,lesion_lowres_sim
178,BRATS_315.nii.gz_3,tensor(0.),"[19, 0]","[18, 1]","[15, 4]","[16, 3]","[19, 0]","[19, 0]","[10, 9]","[12, 7]","[11, 8]","[8, 11]"
179,BRATS_240.nii.gz_1,tensor(0.),"[85, 0]","[85, 0]","[84, 1]","[78, 7]","[85, 0]","[85, 0]","[64, 21]","[63, 22]","[19, 66]","[16, 69]"
180,BRATS_240.nii.gz_2,tensor(0.),"[49, 0]","[49, 0]","[43, 6]","[27, 22]","[49, 0]","[49, 0]","[18, 31]","[21, 28]","[8, 41]","[7, 42]"
181,BRATS_240.nii.gz_3,tensor(0.),"[46, 0]","[46, 0]","[41, 5]","[42, 4]","[46, 0]","[46, 0]","[40, 6]","[41, 5]","[13, 33]","[14, 32]"
182,BRATS_425.nii.gz_1,tensor(0.0058),"[43, 0]","[43, 0]","[26, 17]","[19, 24]","[43, 0]","[43, 0]","[23, 20]","[22, 21]","[6, 37]","[6, 37]"
183,BRATS_425.nii.gz_2,tensor(0.0680),"[34, 0]","[34, 0]","[14, 20]","[19, 15]","[34, 0]","[34, 0]","[21, 13]","[18, 16]","[14, 20]","[14, 20]"
184,BRATS_425.nii.gz_3,tensor(0.),"[37, 0]","[37, 0]","[26, 11]","[22, 15]","[37, 0]","[37, 0]","[18, 19]","[19, 18]","[11, 26]","[11, 26]"
185,BRATS_349.nii.gz_1,tensor(0.),"[54, 0]","[54, 0]","[47, 7]","[41, 13]","[54, 0]","[54, 0]","[43, 11]","[44, 10]","[21, 33]","[19, 35]"
186,BRATS_349.nii.gz_2,tensor(0.),"[33, 0]","[33, 0]","[11, 22]","[13, 20]","[33, 0]","[33, 0]","[17, 16]","[20, 13]","[11, 22]","[14, 19]"
187,BRATS_349.nii.gz_3,tensor(0.),"[35, 0]","[35, 0]","[14, 21]","[13, 22]","[35, 0]","[35, 0]","[20, 15]","[22, 13]","[8, 27]","[7, 28]"
188,BRATS_297.nii.gz_1,tensor(0.),"[45, 0]","[45, 0]","[45, 0]","[37, 8]","[45, 0]","[45, 0]","[36, 9]","[36, 9]","[29, 16]","[25, 20]"
189,BRATS_297.nii.gz_2,tensor(0.),"[10, 0]","[10, 0]","[1, 9]","[4, 6]","[10, 0]","[10, 0]","[3, 7]","[5, 5]","[3, 7]","[6, 4]"
190,BRATS_297.nii.gz_3,tensor(0.),"[12, 0]","[12, 0]","[4, 8]","[4, 8]","[12, 0]","[12, 0]","[8, 4]","[8, 4]","[7, 5]","[7, 5]"
191,BRATS_266.nii.gz_1,tensor(0.),"[62, 0]","[60, 2]","[61, 1]","[55, 7]","[62, 0]","[62, 0]","[44, 18]","[40, 22]","[7, 55]","[7, 55]"
192,BRATS_266.nii.gz_2,tensor(0.),"[55, 0]","[53, 2]","[54, 1]","[54, 1]","[55, 0]","[55, 0]","[32, 23]","[30, 25]","[21, 34]","[19, 36]"
193,BRATS_266.nii.gz_3,tensor(0.),"[53, 0]","[51, 2]","[50, 3]","[48, 5]","[53, 0]","[53, 0]","[48, 5]","[46, 7]","[10, 43]","[10, 43]"
194,BRATS_007.nii.gz_1,tensor(0.),"[51, 0]","[51, 0]","[50, 1]","[43, 8]","[51, 0]","[51, 0]","[39, 12]","[41, 10]","[17, 34]","[15, 36]"
195,BRATS_007.nii.gz_2,tensor(0.),"[31, 0]","[31, 0]","[10, 21]","[12, 19]","[31, 0]","[31, 0]","[14, 17]","[15, 16]","[7, 24]","[6, 25]"
196,BRATS_007.nii.gz_3,tensor(0.),"[33, 0]","[33, 0]","[31, 2]","[26, 7]","[33, 0]","[33, 0]","[17, 16]","[17, 16]","[16, 17]","[15, 18]"
197,BRATS_344.nii.gz_1,tensor(0.),"[64, 0]","[62, 2]","[27, 37]","[26, 38]","[64, 0]","[64, 0]","[38, 26]","[39, 25]","[17, 47]","[16, 48]"
198,BRATS_344.nii.gz_2,tensor(6.8375e-07),"[51, 0]","[50, 1]","[34, 17]","[23, 28]","[51, 0]","[51, 0]","[25, 26]","[20, 31]","[15, 36]","[13, 38]"
199,BRATS_344.nii.gz_3,tensor(0.0069),"[53, 0]","[52, 1]","[38, 15]","[25, 28]","[53, 0]","[53, 0]","[42, 11]","[30, 23]","[21, 32]","[13, 40]"
200,BRATS_441.nii.gz_1,tensor(0.),"[63, 8]","[70, 1]","[64, 7]","[60, 11]","[71, 0]","[71, 0]","[56, 15]","[58, 13]","[31, 40]","[29, 42]"
201,BRATS_441.nii.gz_2,tensor(0.),"[25, 6]","[30, 1]","[8, 23]","[7, 24]","[30, 1]","[31, 0]","[19, 12]","[17, 14]","[6, 25]","[7, 24]"
202,BRATS_441.nii.gz_3,tensor(0.),"[30, 13]","[39, 4]","[21, 22]","[17, 26]","[40, 3]","[40, 3]","[31, 12]","[25, 18]","[10, 33]","[9, 34]"
203,BRATS_267.nii.gz_1,tensor(0.),"[49, 0]","[48, 1]","[46, 3]","[44, 5]","[49, 0]","[49, 0]","[36, 13]","[35, 14]","[12, 37]","[10, 39]"
204,BRATS_267.nii.gz_2,tensor(0.),"[39, 0]","[38, 1]","[22, 17]","[17, 22]","[39, 0]","[39, 0]","[9, 30]","[11, 28]","[5, 34]","[5, 34]"
205,BRATS_267.nii.gz_3,tensor(0.),"[36, 0]","[35, 1]","[33, 3]","[16, 20]","[36, 0]","[36, 0]","[24, 12]","[21, 15]","[10, 26]","[11, 25]"
206,BRATS_165.nii.gz_1,tensor(0.),"[75, 0]","[72, 3]","[72, 3]","[67, 8]","[75, 0]","[75, 0]","[55, 20]","[53, 22]","[29, 46]","[29, 46]"
207,BRATS_165.nii.gz_2,tensor(0.),"[28, 0]","[28, 0]","[8, 20]","[4, 24]","[28, 0]","[28, 0]","[5, 23]","[4, 24]","[3, 25]","[3, 25]"
208,BRATS_165.nii.gz_3,tensor(0.),"[25, 0]","[25, 0]","[16, 9]","[7, 18]","[25, 0]","[25, 0]","[11, 14]","[12, 13]","[9, 16]","[6, 19]"
209,BRATS_037.nii.gz_1,tensor(0.),"[66, 0]","[66, 0]","[59, 7]","[50, 16]","[66, 0]","[66, 0]","[55, 11]","[56, 10]","[18, 48]","[16, 50]"
210,BRATS_037.nii.gz_2,tensor(0.),"[40, 0]","[40, 0]","[18, 22]","[13, 27]","[40, 0]","[40, 0]","[23, 17]","[18, 22]","[12, 28]","[10, 30]"
211,BRATS_037.nii.gz_3,tensor(0.),"[39, 0]","[39, 0]","[20, 19]","[13, 26]","[39, 0]","[39, 0]","[21, 18]","[20, 19]","[13, 26]","[13, 26]"
212,BRATS_111.nii.gz_1,tensor(0.),"[52, 0]","[52, 0]","[52, 0]","[51, 1]","[52, 0]","[52, 0]","[52, 0]","[51, 1]","[17, 35]","[15, 37]"
213,BRATS_111.nii.gz_2,tensor(0.),"[32, 0]","[32, 0]","[23, 9]","[22, 10]","[32, 0]","[32, 0]","[20, 12]","[24, 8]","[12, 20]","[11, 21]"
214,BRATS_111.nii.gz_3,tensor(0.),"[30, 0]","[30, 0]","[19, 11]","[14, 16]","[30, 0]","[30, 0]","[21, 9]","[18, 12]","[7, 23]","[8, 22]"
